TM_Number,transcription_url,committee_avg,committee_min,committee_max,Date_notAfter,text,text_raw
9059,https://papyri.info/ddbdp/bgu;1;329/source,-75.688202247191,-131.25,-25.25,0153-01-31,καλλειτουζωιλουπροσκαλλειειπενλοτεαποφασιντηνσηνσκαιαναγνωσεωσαποκαθωσυποτετακταιειπενδιδωμιαποχηνεχρησαντοτοισψηφισμασιεπικτηταελαβεναποανιειπενεμμενεηναναγνωσονητονορονεχειωστεησασζητηθηναιτοσυιουαδελφουσμητερααιγυπτιαναιγυπτιουσομαναλλοτριονεστιναδελφοντουτετελευενπροσθυγατριδουσπολλουδηπουδιηνημητερακαιαρεισορητωρσοιτουποκλημααντιγραφονυποκειταιδοθεντοσκριτουουμαξιμουηγεμονοσωνκατασενδωτηνωνιγερμανουκαιωνωνκαιταατρηνισνωνανωμαλιασ,"
καλλει τοῦ Ζωίλου πρὸς 

    καλλει  εἶπεν λοτε
 ἀπόφασιν τὴν σὴν 

    ς καὶ ἀναγνώσεως ἀπὸ 

     καθὼς ὑποτέτακται 

     εἶπεν· δίδωμι ἀποχὴν 

     ἐχρήσαντο τοῖς ψηφίσμασι
 ἐπίκτητα ἔλαβεν ἀπὸ 

    ανι εἶπεν· ἔμμενε 

    ην ἀνάγνωσον. 

    η τὸν ὅρον ἔχει ὥστε 

    ησας ζητηθῆναι 

    τος υἱοῦ ἀδελφοὺς 

     μητέρα Αἰγυπτίαν 

     Αἰγυπτίους ομα

    ν ἀλλότριόν ἐστιν 

     ἀδελφὸν τοῦ τετελευ

    εν πρὸς θυγατριδοῦς 

     πολλοῦ δήπου δι
ηνη μητέρα καὶ 

    αρεις ὁ ῥήτωρ
 σοι το ὑπόκλημα 

     ἀντίγραφον ὑπόκειται
 δοθέντος κριτοῦ 

    ου Μαξίμου ἡγεμόνος 

    ων κατὰ Σενδώτην 

    ωνι Γερμάνου καὶ
ωνων καὶ Ταατρῆνις 

    νων ἀνωμαλίας 
"
9558,https://papyri.info/ddbdp/c.pap.gr;2.1;73/source,3.356741573033708,-35.5,31.5,0215-02-04,παραηραθυγατροσατρηαποκωμησταλειμετακυριουμαλοστουκαιμαλλειτουμουαλβανοσλουκιουτουαλβανουμητροσσοηρεωστελωνταεπικεφαλαιαεπιτησπροκειμενησκωμησετελευτησεντωοντιμηνιμεχειρτουενεστωτοσκγετουσαξιωταγηναιαυτουτοονομαεντητωντετελευτηκοτωνταξειωσεπιτωνομοιωνκωμογραμματειταλειειταισαληθειαισοπρογεγραμμενοσαλβανισετελευτησενπροεξετασαιακολουθωστωτετελαραιετουσκγτουκυριουημωναυτοκρατοροσσεουηρουαντωνινουευτυχουσευσεβουσσεβαστουμεχειρι,"
παρὰ Ἡρᾶ θυγατρὸς Ἁτρῆ ἀπὸ κώ

    μης Ταλεὶ μετὰ κυρίου μαλος τοῦ 

    καὶ Μαλλείτου  μου Ἀλβανὸς 

    Λουκίου τοῦ Ἀλβανοῦ μητρὸς Σοή

    ρεως τελῶν τὰ ἐπικεφάλαια ἐπὶ τῆς 

    προκειμένης κώμης ἐτελεύτη

    σεν τῷ ὄντι μηνὶ Μεχεὶρ τοῦ ἐνεστῶ

    τος κγ ἔτους. ἀξιῶ ταγῆναι αὐτοῦ 

    τὸ ὄνομα ἐν τῇ τῶν τετελευτηκότων τάξει 

    ὡς ἐπὶ τῶν ὁμοίων. 

     κωμογραμματεῖ Ταλεί. εἰ ταῖς ἀληθείαις ὁ προγεγραμμένος
Ἀλβᾶνις ἐτελεύτησεν προ ἐξετασαι 

    ἀκολούθως τῷ τετελαραι 

    ἔτους κγ τοῦ κυρίου ἡμῶν Αὐτοκράτορος Σεουήρου 

    Ἀντωνίνου Εὐτυχοῦς Εὐσεβοῦς Σεβαστοῦ 

    Μεχεὶρ ι "
9677,https://papyri.info/ddbdp/bgu;13;2270/source,-24.86235955056181,-75.25,25.75,0155-02-04,δειωκαισαβεινωγεγυμνασιαρχηκοτικαιμετοχοισδημοσιοιστραπεζιταισοιυπογεγραμμενοιδημοσιοικτηνοτροφοικωμησναρμουθεωσδιαπρειμουαποσυσταθεντοσαπεχομενπαρυμωντασεπισταλεισασημινημεινυποπτολεμαιουβασιλικουγραμματεωσπολεμωνοσμεριδοσδιαδεχομενουκαιτηνστρατηγιαντωνβμεριδωναστησαμεθαεπισταληναιεπιστειλληναιημινημεινυπερφορετρωνπυρουουκατηξαμεναποθησαυρωνπολεμωνοσειστουσορμουσαπεργασιασεπιτωδημητριωτωκαιαρποκρατιωνιγενηματοσιετουσπυρουαρταβασωστησαρταβησεκαστησητασσυναγομενασαργυριουδραχμασεισιδεμεροαρταβησαραρταβασααρταβησγηρωνσεοαρταβησπακωαρταβησγνειλεροβπειουσαρταβησατροαρταβησ,"This text is preceded by SB 16,13060; it is continued at P.Berl.Frisk 1 cols. 1-38; P.Berl.Frisk 1 col. 39 = P.Graux 3 30 col. 1, which is continued by P.Graux 3 30 cols. 2-14, which are continued by P.Col. 2,1 recto 4, cols. 1-19
Δείῳ καὶ Σαβείνῳ γεγυμνασιαρχηκότι καὶ μετόχοις δημοσίοις τραπεζίταις
οἱ ὑπογεγραμμένοι δημόσιοι κτηνοτρόφοι κώμης
Ναρμούθεως διὰ Πρείμου ἀποσυσταθέντος ἀπέ
χομεν παρʼ ὑμῶν τὰς ἐπισταλείσας ἡμῖνἡμεῖν ὑπὸ
Πτολεμαίου βασιλικοῦ γραμματέως Πολέμωνος μερίδος διαδεχομένου
καὶ τὴν στρατηγίαν τῶν β μερίδων ἃς ᾐτησάμεθα ἐπι

    σταλῆναιἐπιστειλλῆναι ἡμῖνἡμεῖν ὑπὲρ φορέτρων πυροῦ
οὗ κατήξαμεν ἀπὸ θησαυρῶν Πολέμωνος εἰς
τοὺς ὅρμους ἀπεργασίας ἐπὶ τῷ Δη
μητρίῳ τῷ καὶ Ἁρποκρατίωνι γενήματος ιϛ ἔτους πυροῦ ἀρτάβας 
ὡς τῆς ἀρτάβης ἑκάστης η, τὰς συναγομένας ἀργυρίου δραχμάς
                      εἰσὶ δέ· 

    μερο ἀρτάβης ϛ·  Αρ ἀρτάβας α 𐅵 
 ἀρτάβης 𐅵 γ·  Ἡρωνσε
ο ἀρτάβης ϛ·  Πακ 
ω ἀρτάβης γ·  Νειλ
ερο  β ·    Π
ειους     ἀρτάβης ϛ·  Α
τρο ἀρτάβης ϛ·  "
9682,https://papyri.info/ddbdp/bgu;13;2279/source,-121.623595505618,-144.75,-98.75,0212,προσαριθμησινεετουσαποπαχωνεωσμεσορησουχουθεουμεγαλουμεγαλουδιαπουεξηγητουκαιηρωνοσηρωωνοσκοσμητουεπιμελητωνεστιδεηρακλειδουμεριδοσειδωνειδωωνκερκεσουχωνδραχμαικημητροδωρουδραχμαιηπτολεμαιδοσαραβωνδραχμαιιβειδωναιγινονταιειδωνειδωωνδραχμαιμηστεφανικωνβστεφανικωνβετουσκερκεσουχωνδραχμαιιβμητροδωρουδραχμαικπτολεμαιδοσαραβωνδραχμαιηβουβαστουδραχμαιισεβεννυτοσδραχμαιλβψεναρυωσδραχμαιδ,"
πρὸς ἀριθμησιν ε ἔτους ἀπὸ
Παχὼν ἕως Μεσορή  
Σούχου θεοῦ μεγάλου μεγάλου 
διὰ που ἐξηγητοῦ καὶ 
ἭρωνοςἭρωωνος κοσμητοῦ ἐπιμελητῶν 
ἔστι δέ· 

    Ἡρακλείδου μερίδος 
εἰδῶνεἰδῶων Κερκεσούχων δραχμαὶ κη 
Μητροδώρου δραχμαὶ η 
Πτολεμαίδος Ἀράβων δραχμαὶ ιβ    εἰδῶν α ιϛ
γίνονται εἰδῶνεἰδῶων δραχμαὶ μη στεφανικῶν ϙβ
στεφανικῶν β ἔτους
Κερκεσούχων δραχμαὶ ιβ
Μητροδώρου            δραχμαὶ κ
Πτολεμαίδος Ἀράβων δραχμαὶ η
Βουβάστου             δραχμαὶ ιϛ
Σεβεννῦτος            δραχμαὶ λβ
Ψεναρύως              δραχμαὶ δ
 "
10778,https://papyri.info/ddbdp/p.fay;;113/source,-90.05056179775282,-118.5,-52.0,0100-12-14,λουκιοσβελληνοσγεμελλοσσαβινωιτωιυιωιοιειωιχαιρεινπαντηπαντωσπαντοσπεμψεισπεμσισπινδαροντονπεδιοφυλακατησδιονυσιαδοσηετονπατερααυτουεπειεπιερμωναξερμοναξερωτησεμειναειναεφιδητονελαιωνααυτουτονενκερκεσουχοισκερκεσουχυσεπειεπιπυκνοσεστιντοιστυσφυτοισφυτυσκαιεξαυτωναυτονεκκοψαιθελειθελιφυταευουνποιησασπυησασεξαυτησπεμψεισπεμσισαυτονεξαυτησκαιτηιιηηειθτηπολειπολιπεμψεισπεμσισιχθυασεικθυασδραχμωνιβεπιτατετρακοστατετρακοσστατουμικρουυιουοιειουγεμελλησ,"
Λούκιος Βελλῆνος Γέμελλος 

    Σαβίνωι τῶι υἱῶιοιεἱῶι χαίρειν. 

    πάντη πάντωςπάντος πέμψειςπέμσις Πίν

    δαρον τὸν πεδιοφύλακα τῆς 

    Διονυσιάδος ἢεἲ τὸν πατέρα αὐτοῦ, 

    ἐπεὶἐπὶ ἙρμῶναξἙρμο͂ναξ ἐρώτησέ με ἵναεἵνα
ἐφίδῃ τὸν ἐλαιῶνα αὐτοῦ τὸν 

    ἐν ΚερκεσούχοιςΚερκεσούχυς ἐπεὶἐπὶ πυκνός 

    ἐστιν τοῖςτῦς φυτοῖςφυτῦς, καὶ ἐξ αὐτῶναὐτο͂ν
ἐκκόψαι θέλειθέλι φυτά.  εὖ οὖν ποιή

    σαςπυήσας ἐξαυτῆς πέμψειςπέμσις αὐτὸν 

    ἐξαυτῆς·  καὶ τῆι ιη ἢεἲ ιθ τῇ 

    πόλειπόλι πέμψειςπέμσις ἰχθύαςεἰκθύας δραχμῶν ιβ
ἐπὶ τὰ τετρακοστὰτετρακοσστὰ τοῦ μικροῦ 

     υἱοῦοιεἱοῦ Γεμέλλης 

     "
10961,https://papyri.info/ddbdp/p.flor;1;69/source,-61.72191011235956,-128.75,-4.0,0261,οαιζναυπηγοισεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνεκαστωδραχμαιζδραχμαιμβπρισταισβτεμνουσιπερσειναπξυλαεκδραχμωνηδραχμαιιιηναυπηγοισεεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαιλεπρισταισβτεμνουσιπερσειναξυλαεκδραχμωνηδραχμαιιιθναυπηγοισδεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικηπρισταισβτεμνουσιπερσειναξυλαεκδραχμωνηδραχμαιικαναυπηγοισεεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαιλεκβναυπηγοισδεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικηκγναυπηγοισεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαιμβκδναυπηγοισδεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικηκζναυπηγοισζεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαιμθαθυραναυπηγοισδεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικηπρισταισβτεμνουσιπερσειναπεξυλαεκδραχμωνηδραχμαιιβναυπηγοισεεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαιλεπρισταισβτεμνουσιακανθιναενκοιλιαακανκοιληνεκδραχμωνηδραχμαιιγναυπηγοισδεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικηπρισταισβτεμνουσιακανθιναενκοιλιαακανκοιληνεκδραχμωνηδραχμαιιδναυπηγοισδεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικηπρισταισβτεμνουσιακανθιναενκοιλιαακαννκοιληνεκδραχμωνηδραχμαιιεναυπηγοισγεργαζομενοιστοπροκειμενονπλοιονεκδραχμωνζδραχμαικαζναυπηγοισδεξηλουσισανιδεσπλατειασετερουτοιχουτουπροκειμενουπλοιουεκδραχμωνζδραχμαικηπρισταισβτεμνουσιακανθιναενκοιλιαακαννκοιληνεκδραχμωνηδραχμαιιηναυπηγοισδεξηλουσισανιδεσπλατειασετερουτοιχουτουπροκειμενουπλοιουεκδραχμωνζδραχμαικη,"
οα
ιζ, ναυπηγοῖς ϛ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶνἑκάστῳ δραχμαὶ ζ, δραχμαὶ μβ, 

    πρίσταις β τέμνουσι περσείναπ ξύλα, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    ιη, ναυπηγοῖς ε ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ λε, 

    πρίσταις β τέμνουσι περσείνα ξύλα, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    ιθ, ναυπηγοῖς δ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κη, 

    πρίσταις β τέμνουσι περσείνα ξύλα,  ἐκ δραχμῶν η, δραχμαὶ ιϛ
κα, ναυπηγοῖς ε ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ λε. 

    κβ, ναυπηγοῖς δ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κη. 

    κγ, ναυπηγοῖς ϛ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ μβ. 

    κδ, ναυπηγοῖς δ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κη. 

    κζ, ναυπηγοῖς ζ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ μθ. 

    Ἁθὺρ α, ναυπηγοῖς δ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κη, 

    πρίσταις β τέμνουσι περσείναπε ξύλα, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    β, ναυπηγοῖς ε ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ λε, 

    πρίσταις β τέμνουσι ἀκάνθινα ἐνκοίλιαακαν κοίλην, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    γ, ναυπηγοῖς δ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κη, 

    πρίσταις β τέμνουσι ἀκάνθινα ἐνκοίλιαακαν κοίλην, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    δ, ναυπηγοῖς δ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κη, 

    πρίσταις β τέμνουσι ἀκάνθινα ἐνκοίλιαακανν κοίλην, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    ε, ναυπηγοῖς γ ἐργαζομένοις τὸ προκείμενον πλοῖον, ἐκ δραχμῶν ζ, δραχμαὶ κα. 

    ζ, ναυπηγοῖς δ ἐξηλοῦσι σανίδες πλατείας ἑτέρου τοίχου τοῦ 

    προκειμένου πλοίου, ἐκ δραχμῶν ζ, δραχμαὶ κη, 

    πρίσταις β τέμνουσι ἀκάνθινα ἐνκοίλιαακανν κοίλην, ἐκ δραχμῶν η, δραχμαὶ ιϛ. 

    η, ναυπηγοῖς δ ἐξηλοῦσι σανίδες πλατείας ἑτέρου τοίχου 

    τοῦ προκειμένου πλοίου, ἐκ δραχμῶν ζ, δραχμαὶ κη. 
"
10996,https://papyri.info/ddbdp/p.flor;2;140r/source,22.10393258426967,-48.5,88.75,0264-11-04,χαιροισκυριεμουαλυπιανουβιωνσεπροσαγορευωεπιστολιοντουαδελφουσουκλαυδιανουεσφραγισμενοντηαυτουσφραγιδιεπεμψασοιτουτολαβωναντιγραψεισαυτωευποιησεισκυριεμουπρονοησασκαιεμοικαμοιμετρητουομφακινουοινουησσησεανηντιμησερρωμενοσμοιδιατελοισμετατωνφιλτατωνκυριεμουασυγκριτεαλυπι,"
χαίροις κύριέ μου Ἀλύπι. 

    Ἀνουβίων σε προσαγορεύω. 

    ἐπιστόλιον τοῦ ἀδελφοῦ σου Κλαυδιανοῦ 

    ἐσφραγισμένον τῇ αὐτοῦ σφραγῖδι 

    ἔπεμψά σοι. τοῦτο λαβὼν ἀντιγράψεις 

    αὐτῷ  εὖ ποιήσεις κύριέ μου προνοή

    σας καὶ ἐμοὶκἀμοὶ μετρητοῦ ὀμφακίνου 

    οἴνου ἧςσῆσ ἐὰν ἦν τιμῆς.   ἐρρωμένος 

    μοι διατελοῖς μετὰ τῶν φιλ

    τάτων κύριέ μου ἀσύγκριτε 

    Ἀλύπι "
118524,https://papyri.info/ddbdp/o.claud;4;872/source,-140.6011235955056,-196.25,-55.50000000000001,0115,ιησουσουερνατιτωτιμιωτατωτειμιωτατωχαιρεινοστυλοστετελεσταικαιωρανπρωτηνεισκρηπιδακρηπειδαεστινενατηκαιεικαδιτολοιπονοτανσοιδοξηερρωσθαισεευχομαι,"
Ἰησοῦς Οὐερνᾶτι τῷ
τιμιωτάτῳτειμιωτάτῳ χαίρειν.
ὁ στύλος τετέλεσται καὶ ὧραν
πρώτην εἰς κρηπῖδακρηπεῖδα ἐστὶν
ἐνάτῃ καὶ εἰκάδι. τὸ λοιπὸν,
ὅταν σοι δόξῃ.

ἐρρῶσθαί σε εὔχομαι.
"
11011,https://papyri.info/ddbdp/p.flor;2;154r/source,-60.08988764044943,-157.0,-14.75,0267-12-12,τωκυριωμουαδελφωαλυπιωγεσχρηστηνσυντυχιανοιεμοιηνοτεταπεριτουαεκομισθηετυχενδεμπεριαυτουκαιπρινσεεπιστθεσωκυριεουτωσεχειουδνυπηρεσιααλληδιωμολογισπερκαισοιεπεστειλενεεκπλουντονεντευθενκαπτολεμαιδατισσοισαυνηυφρανασμεεπιμελησασπαιδισκουτουεπιστολαφορουκαεκομιζεναντεπεμανεστεινευθυσαντιγραφακομιετηνκυριανπρτε,"
τῷ κυρίῳ μου ἀδελφῷ Ἀλυπίῳ 
γες
 χρηστὴν συντυχίαν οι
 ἐμοὶ ἦν ὅτε τὰ περὶ τοῦ 
α ἐκομίσθη ἔτυχεν δὲ μ
 περὶ αὐτοῦ καὶ πρίν σε ἐπιστ
θες, ὦ κύριε, οὕτως ἔχει οὐ δ
ν ὑπηρεσία ἄλλη διωμολογ
ισπερ καί σοι ἐπέστειλεν ε
 ἔκπλουν τὸν ἐντεῦθεν κα
 Πτολεμαίδα τις σοῖς αὐ
ν ηὔφρανάς με ἐπιμέλησας 
 παιδίσκου τοῦ ἐπιστολαφόρου κ
α ἐκόμιζεν ἀντεπεμἀνεστει
ν εὐθὺς ἀντίγραφα κομι
 ε τὴν κυρίαν πρ
τε
 "
11175,https://papyri.info/ddbdp/p.flor;3;373/source,-151.2724719101124,-180.0,-128.25,0257-10-23,πολλαονοματαδουσωσσυνληστευοντασαυτωπρωτονμεντονσονεργατηνπαυλονειτατονδουλονμουδραπετιωνακαιπολλουσαλλουσουμονοναυτοναλλακαιεμοιεφθονησενεφθονεσενωσσυνειδοτιτωδουλωκαιταμερηαυτουλαμβανωνεδωκενδεκαιωσδυναμενουδυναμενωμουαυτουσροισασθαικαιμεχρισημερονπαραστρατιωτηνημεισουνπαρακαλωκαιδεομαιδαιομαιεανσοιδοκοιεισελθεινεισελθινιναταχαδυνηθωδιασουσωθηναιερρωσθαισεευχομαικυριεμουολοκληρουνταπημ,"

 
πολλὰ ὀνόματα δοὺς ὡς συνλῃστεύον

    τας  αὐτῷ, πρῶτον μὲν τὸν σὸν ἐργάτην 

    Παῦλον, εἶτα τὸν δοῦλόν μου Δρα

    πετίωνα καὶ πολλοὺς ἄλλους οὐ μόνον αὐτόν, ἀλλὰ καὶ ἐ

    μοὶ ἐφθόνησενἐφθόνεσεν ὡς συνειδότι τῷ 

    δούλῳ καὶ τὰ μέρη αὐτοῦ λαμβάνων. 

    ἔδωκεν δὲ καὶ ὡς δυναμένουδυναμένω μου 

    αὐτοὺς ῥοισασθαι καὶ μέχρι σήμερον 

    παρὰ στρατιώτην. ἡμεῖς οὖν 

    παρακαλῶ καὶ δέομαιδαίομαι, ἐάν σοι δο

    κοῖ, εἰσελθεῖνεἰσελθῖν ἵνα τάχα δυνηθῶ διὰ σοῦ 

    σωθῆναι. ἐρρῶσθαί σε εὔχομαι, κύριέ 

    μου, ὁλοκληροῦντα πη 

    μ
"
