tm,date,text_raw,url_img,url_trn,text_spaced,text
1017,-2.0,"
ἔτους ιϛ, Πανήμου ἐμβολίμου. 

    ἄφες ἐκ καταπλοῦ ἐν βασιλικῆι 

    εἰκοσόρωι εἰς Φιλάμμονα 

    Θεσσαλὸν τῶν Νικοφίλου 


    ξεναγὸν σχιζίαν πυρράκη 

    κλαστὸν οὐλὴν ἔχοντα 

    ἐπʼ ἀριστερᾶι σιαγόνι ὡς ἐτῶν μ
παιδίσκην αὐτοῦ Σαφφοῦν 

    Καρίνην. ",http://ipap.csad.ox.ac.uk/PCZ-colour/300dpi/P.Cair.Zen.III.59374.jpg,https://papyri.info/ddbdp/p.cair.zen;3;59374/source,ετουσ ι πανημου εμβολιμου αφεσ εκ καταπλου εν βασιλικηι εικοσορωι εισ φιλαμμονα θεσσαλον των νικοφιλου ξεναγον σχιζιαν πυρρακη κλαστον ουλην εχοντα επ αριστεραι σιαγονι ωσ ετων μπαιδισκην αυτου σαφφουν καρινην,ετουσιπανημουεμβολιμουαφεσεκκαταπλουενβασιλικηιεικοσορωιεισφιλαμμοναθεσσαλοντωννικοφιλουξεναγονσχιζιανπυρρακηκλαστονουληνεχονταεπαριστεραισιαγονιωσετωνμπαιδισκηναυτουσαφφουνκαρινην
2482,-2.0,"
Δικαίωι
ἀρχιφυλακίτηιἀρχιφυφυλακίτηι
κώμης Μοι

    θύμεως παρὰ 

    Πρωτόμου 

    τοῦ Μενε

    λάου. τοῦ ιγ ἔτους
μηνὸς Φαμεν

    ὼφ ιδ νυκτὸς 

    εἰς ιε κατα

    βάντες τινὲς 

    εἰς τὸν Φιλίπ

    που κλῆρον 

    ὃν γεωργῶ 

    ἐξεθέρισαν 

    εἰς πυρῶν ἀρτάβας ϛ. 

    ἐμφανίζω οὖν 

    σοι ὅπως τὴν 

    ἐπιζήτησινἐπισζήτησιν
ποιήσηιποήσηι. ",https://papyri.uni-koeln.de/stueck/DS_d1e16771/img/00023/orig/PK23r.jpg,https://papyri.info/ddbdp/p.koeln;5;216/source,δικαιωιαρχιφυλακιτηιαρχιφυφυλακιτηικωμησ μοι θυμεωσ παρα πρωτομου του μενε λαου του ιγ ετουσμηνοσ φαμεν ωφ ιδ νυκτοσ εισ ιε κατα βαντεσ τινεσ εισ τον φιλιπ που κληρον ον γεωργω εξεθερισαν εισ πυρων αρταβασ εμφανιζω ουν σοι οπωσ την επιζητησινεπισζητησινποιησηιποησηι,δικαιωιαρχιφυλακιτηιαρχιφυφυλακιτηικωμησμοιθυμεωσπαραπρωτομουτουμενελαουτουιγετουσμηνοσφαμενωφιδνυκτοσεισιεκαταβαντεστινεσειστονφιλιππουκληρονονγεωργωεξεθερισανεισπυρωναρταβασεμφανιζωουνσοιοπωστηνεπιζητησινεπισζητησινποιησηιποησηι
2609,-2.0,"
Διογένης Δημητρίωι χαί

    ρειν. γίνωσκε ἡμᾶς κε

    κωλῦσθαι ἐργάζεσθαι 

    ὑπὸ Πτολεμαίου τοῦ Με

    νεσθέως καὶ Πτολεμαίου 

    τοῦ Ἡρακλείδου τῶν λογευ

    όντων τὴν ἐπιγραφὴν 

    τὰς δύο  δραχμὰς τῶι με

    τρητῇ, καὶ φάσκειν αὐτοὺς
παραγράφεσθαί σε κεραμίων 

    ἑβδομήκοντα  δραχμὰς ρμ καὶ κε

    νοῦ δραχμὰς ι, ὥστʼ εἶναι δραχμὰς ρν. 

    σὺ οὖν καλῶς ποιήσειςποείσεις φροντί

    σας ὡς οὐ περισπασθησόμε

    θα. καὶ ὑπὲρ κλημάτωνκληματοάτων
οὐχ ὑπομενεῖ ἐὰν μ κατάγειν 

    ὁ καταμήνιος, ἐὰν μὴ χαλ
κοῦς λάβῃ. ἔρρωσο. 
",https://quod.lib.umich.edu/cgi/i/image/api/image/apis:1870:3206R_A.TIF/full/res:0/0/native.jpg,https://papyri.info/ddbdp/sb;18;13861/source,διογενησ δημητριωι χαι ρειν γινωσκε ημασ κε κωλυσθαι εργαζεσθαι υπο πτολεμαιου του με νεσθεωσ και πτολεμαιου του ηρακλειδου των λογευ οντων την επιγραφην τασ δυο δραχμασ τωι με τρητη και φασκειν αυτουσπαραγραφεσθαι σε κεραμιων εβδομηκοντα δραχμασ ρμ και κε νου δραχμασ ι ωστ ειναι δραχμασ ρν συ ουν καλωσ ποιησεισποεισεισ φροντι σασ ωσ ου περισπασθησομε θα και υπερ κληματωνκληματοατωνουχ υπομενει εαν μ καταγειν ο καταμηνιοσ εαν μη χαλκουσ λαβη ερρωσο,διογενησδημητριωιχαιρεινγινωσκεημασκεκωλυσθαιεργαζεσθαιυποπτολεμαιουτουμενεσθεωσκαιπτολεμαιουτουηρακλειδουτωνλογευοντωντηνεπιγραφηντασδυοδραχμαστωιμετρητηκαιφασκειναυτουσπαραγραφεσθαισεκεραμιωνεβδομηκονταδραχμασρμκαικενουδραχμασιωστειναιδραχμασρνσυουνκαλωσποιησεισποεισεισφροντισασωσουπερισπασθησομεθακαιυπερκληματωνκληματοατωνουχυπομενειεανμκαταγεινοκαταμηνιοσεανμηχαλκουσλαβηερρωσο
41531,-2.0,"
  ἔγραψα 
 Νικάνωρ Αὐτομέδοντι χαίρειν. 
ὑπόκειταί σοι τὸ ἀντίγραφον. 
τοῦ ἀντιγραφέως ο
εἰς Φαμενὼθ τοῦ ι ἔτους 
πάιτος Σαμώιτος 


",http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/P.Heid._VII/389/G1105RY.JPG ,https://papyri.info/ddbdp/p.heid;7;389/source ,εγραψα νικανωρ αυτομεδοντι χαιρειν υποκειται σοι το αντιγραφον του αντιγραφεωσ οεισ φαμενωθ του ι ετουσ παιτοσ σαμωιτοσ,εγραψανικανωραυτομεδοντιχαιρεινυποκειταισοιτοαντιγραφοντουαντιγραφεωσοεισφαμενωθτουιετουσπαιτοσσαμωιτοσ
2483,-2.0,"
Ἀπολλώνιος Ἀμεννεῖ χαίρειν. τὸ προσάγγελμα τοῦ μεμετρη

    μένου σίτου ἐξαποστελοῦμεν τῆι κα. σύμμειξον οὖν ἡμῖν 

    εἰς Κροκοδίλων πόλιν ταύτηι τῆι ἡμέραι κομίζων τὴν γραφὴν 

    τοῦ διὰ σοῦ παραδεδομένου εἰς τὸ βασιλικὸν μέχρι τῆς β ἵνα δὲ 

    οὗτος ὡς πλεῖστος ἦι, προνοήθητι μὴ παρέργως. τοῖς γὰρ καθʼ ὁν

    τινοῦν τρόπον ἐν τούτοις ὀλιγωρήσασιν προσενεχθησόμεθα 

    ὡς εἰς πραγμάτων λόγον ἠδικηκόσιν. ὅπως δὲ μὴ διὰ σὲ κατέχηται 

    ἐκπέμπεσθαι τὸ προσάγγελμα μελησάτω σοι. 

    ἔρρωσο ἔτους η Παχὼν ιϛ
",https://papyri.uni-koeln.de/stueck/DS_d1e24251/img/20351/orig/PK20351r.jpg,https://papyri.info/ddbdp/p.koeln;6;258/source,απολλωνιοσ αμεννει χαιρειν το προσαγγελμα του μεμετρη μενου σιτου εξαποστελουμεν τηι κα συμμειξον ουν ημιν εισ κροκοδιλων πολιν ταυτηι τηι ημεραι κομιζων την γραφην του δια σου παραδεδομενου εισ το βασιλικον μεχρι τησ β ινα δε ουτοσ ωσ πλειστοσ ηι προνοηθητι μη παρεργωσ τοισ γαρ καθ ον τινουν τροπον εν τουτοισ ολιγωρησασιν προσενεχθησομεθα ωσ εισ πραγματων λογον ηδικηκοσιν οπωσ δε μη δια σε κατεχηται εκπεμπεσθαι το προσαγγελμα μελησατω σοι ερρωσο ετουσ η παχων ι,απολλωνιοσαμεννειχαιρειντοπροσαγγελματουμεμετρημενουσιτουεξαποστελουμεντηικασυμμειξονουνημινεισκροκοδιλωνπολινταυτηιτηιημεραικομιζωντηνγραφηντουδιασουπαραδεδομενουειστοβασιλικονμεχριτησβιναδεουτοσωσπλειστοσηιπρονοηθητιμηπαρεργωστοισγαρκαθοντινουντροπονεντουτοισολιγωρησασινπροσενεχθησομεθαωσεισπραγματωνλογονηδικηκοσινοπωσδεμηδιασεκατεχηταιεκπεμπεσθαιτοπροσαγγελμαμελησατωσοιερρωσοετουσηπαχωνι
3073,-2.0,"

 τὸ προ
γεγραμμένον πλῆθος. ἐὰν δέ τι ἀπολείπηι, προσδέξεται τῆς αὐτῆς
τιμῆς καὶ ἐπὶ τούτοις συνφωνησάντων ἡμῶν καὶ ἀρραβῶνά μου διδόντος
χαλκοῦ δραχμὰς σ συνέταξεν παραριθμῆσαι Γλαύηκηι τῆι γυναικὶ αὐτοῦ, ἃς καὶ 

    εὐθέως ἔδωκα. τοῦ δὲ λοιποῦ τῆς τιμῆς κατέστησα ἀνάδοχον 

    Ἀμεννέα τινὰ τῶν αὐτόθι ἐνπόρων, ὃν καὶ αὐτὸς εἵλετο. ὃς ἀνεδέξατο ἀποδώ

    σειν αὐτῶι τὸ πρόσλοιπον ἕως τῆς λ τοῦ Μεσορὴ κομιζομένου μου τὸν οἶνον, 

    καὶ ἀπὸ τοῦ οἴνου τούτου εὐθέως ἐξενέγκας κεράμια β κατεσφραγισάμην τό τε 

    ταμιεῖον καὶ τὴν κλεῖδα. ὑπογύου δὲ γενομένου τοῦ καιροῦ καὶ ἀποδι

    δόντων ἡμῶν αὐτῶι τὸ λοιπόν, ὅπως κομισάμενοι τὸ φορτίον διατιθώμεθα, οὐ προσ

    έσχεν ποτὲ μὲν φάμενος πρῶτον τὴν συμβολὴν ποιήσεσθαί με, ποτὲ δὲ ἐξ ἐπι

    γραφῆς τε ἐωνῆσθαι, ταῦτα δὲ πράσσειν πρὸς τὸ καταφθεῖραί με καὶ μὴ βούλεσθαι 

    τὸν οἶνον ἀποδιδόναι. δέομαι οὖν σου, βασιλεῦ, εἴ σοι δοκεῖ, προστάξαι Πειθολάωι 

    τῶι στρατηγῶι ἀνακαλεσάμενον τὸν Κλεῖτον ἐπισκέψασθαι καὶ ἐάνπερεἰάνπερ φαίνωμαι 

    ἐπὶ τούτοις ἐωνημένος ἐπαναγκάσαι αὐτὸν ἀποδοῦναί μοι τὸν οἶνον. ἐὰν δὲ ἀντι

    λέγηι ἐξ ἐπιγραφῆς με ἠγορακέναι δοῦναί μοι τὰ πιστὰ ἐν τῶι Ἡρακλείωι 

    καὶ τὸν οἶνον ἀποδοῦναι, ὅπως ἐπὶ σὲ καταφυγών, βασιλεῦ, τὸν πάντων βοηθὸνβοιηθὸν καὶ εὐεργέτην, 

    τύχω τοῦ δικαίου.  εὐτύχει. 

     Ζωίλωι  ἔφασαν μὴ ἐπιδημεῖν τὸν Κλεῖτον. 
",http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/P.Heid._VI/376/G2171RY.JPG,https://papyri.info/ddbdp/p.heid;6;376/source ,το προγεγραμμενον πληθοσ εαν δε τι απολειπηι προσδεξεται τησ αυτηστιμησ και επι τουτοισ συνφωνησαντων ημων και αρραβωνα μου διδοντοσχαλκου δραχμασ σ συνεταξεν παραριθμησαι γλαυηκηι τηι γυναικι αυτου ασ και ευθεωσ εδωκα του δε λοιπου τησ τιμησ κατεστησα αναδοχον αμεννεα τινα των αυτοθι ενπορων ον και αυτοσ ειλετο οσ ανεδεξατο αποδω σειν αυτωι το προσλοιπον εωσ τησ λ του μεσορη κομιζομενου μου τον οινον και απο του οινου τουτου ευθεωσ εξενεγκασ κεραμια β κατεσφραγισαμην το τε ταμιειον και την κλειδα υπογυου δε γενομενου του καιρου και αποδι δοντων ημων αυτωι το λοιπον οπωσ κομισαμενοι το φορτιον διατιθωμεθα ου προσ εσχεν ποτε μεν φαμενοσ πρωτον την συμβολην ποιησεσθαι με ποτε δε εξ επι γραφησ τε εωνησθαι ταυτα δε πρασσειν προσ το καταφθειραι με και μη βουλεσθαι τον οινον αποδιδοναι δεομαι ουν σου βασιλευ ει σοι δοκει προσταξαι πειθολαωι τωι στρατηγωι ανακαλεσαμενον τον κλειτον επισκεψασθαι και εανπερειανπερ φαινωμαι επι τουτοισ εωνημενοσ επαναγκασαι αυτον αποδουναι μοι τον οινον εαν δε αντι λεγηι εξ επιγραφησ με ηγορακεναι δουναι μοι τα πιστα εν τωι ηρακλειωι και τον οινον αποδουναι οπωσ επι σε καταφυγων βασιλευ τον παντων βοηθονβοιηθον και ευεργετην τυχω του δικαιου ευτυχει ζωιλωι εφασαν μη επιδημειν τον κλειτον,τοπρογεγραμμενονπληθοσεανδετιαπολειπηιπροσδεξεταιτησαυτηστιμησκαιεπιτουτοισσυνφωνησαντωνημωνκαιαρραβωναμουδιδοντοσχαλκουδραχμασσσυνεταξενπαραριθμησαιγλαυηκηιτηιγυναικιαυτουασκαιευθεωσεδωκατουδελοιπουτηστιμησκατεστησααναδοχοναμεννεατινατωναυτοθιενπορωνονκαιαυτοσειλετοοσανεδεξατοαποδωσειναυτωιτοπροσλοιπονεωστησλτουμεσορηκομιζομενουμουτονοινονκαιαποτουοινουτουτουευθεωσεξενεγκασκεραμιαβκατεσφραγισαμηντοτεταμιειονκαιτηνκλειδαυπογυουδεγενομενουτουκαιρουκαιαποδιδοντωνημωναυτωιτολοιπονοπωσκομισαμενοιτοφορτιονδιατιθωμεθαουπροσεσχενποτεμενφαμενοσπρωτοντηνσυμβοληνποιησεσθαιμεποτεδεεξεπιγραφηστεεωνησθαιταυταδεπρασσεινπροστοκαταφθειραιμεκαιμηβουλεσθαιτονοινοναποδιδοναιδεομαιουνσουβασιλευεισοιδοκειπροσταξαιπειθολαωιτωιστρατηγωιανακαλεσαμενοντονκλειτονεπισκεψασθαικαιεανπερειανπερφαινωμαιεπιτουτοισεωνημενοσεπαναγκασαιαυτοναποδουναιμοιτονοινονεανδεαντιλεγηιεξεπιγραφησμεηγορακεναιδουναιμοιταπισταεντωιηρακλειωικαιτονοινοναποδουναιοπωσεπισεκαταφυγωνβασιλευτονπαντωνβοηθονβοιηθονκαιευεργετηντυχωτουδικαιουευτυχειζωιλωιεφασανμηεπιδημειντονκλειτον
41534,-2.25,"
ἔτους ιε Ἐπεὶφ κ.

    Ἀσκληπιάδει. κομισάμενος τὸ παρὰ

    τῶν ἐκ Τεως γεωργῶν ὑπόμνημα

    ἔργων ὧν γράφουσι δεῖν γενέσθαι

    ἐν ὧι γράφεις ἐπισκεψάμενον γράψαι

    σοι ὡς ἔχει ",http://www.uni-koeln.de/phil-fak/ifa/NRWakademie/papyrologie/PKoeln/PK20360r.jpg,https://papyri.info/ddbdp/p.koeln;8;341v/source,ετουσ ιε επειφ κ ασκληπιαδει κομισαμενοσ το παρα των εκ τεωσ γεωργων υπομνημα εργων ων γραφουσι δειν γενεσθαι εν ωι γραφεισ επισκεψαμενον γραψαι σοι ωσ εχει,ετουσιεεπειφκασκληπιαδεικομισαμενοστοπαρατωνεκτεωσγεωργωνυπομνημαεργωνωνγραφουσιδεινγενεσθαιενωιγραφεισεπισκεψαμενονγραψαισοιωσεχει
5678,-2.25,"
Κλεοσθένης Πυθονίκωι χαίρειν. 

    γέγραφέ μοι Δημοκράτης 
γεγραφέναι σε αὑτῶι Πτολεμαῖον τὸν
χορηγὸν καταπεπλευκέναι εἰς Κό
πτον, τετάχθαι δέ σοι δώσειν τὸ στρῶ
μα ἐκεῖ παραδώσειν. γράψον οὖν
ἡμῖν, τίς ο ἦν τεταγμένος, ὅπως 

    προσελθὼν κομίσωμαι τὸ στρῶ

    μα· καὶ μὴ ἄλλως ποιήσηιςποήσηις. 

    μενῶ γὰρ ἐνἐγ Κόπτωι ἕως τοῦ
παρὰ σοῦ τι προσφωνηθῆναί μοι. 

    ἔρρωσο. ἔτους ιϛ, Μεσορὴ κδ. 
",https://www.papyrusportal.de/rsc/viewer/IAwJPapyri_derivate_00000050/IAwJPapyri_Jen27R_300.jpg,https://papyri.info/ddbdp/p.jena;1;1/source,κλεοσθενησ πυθονικωι χαιρειν γεγραφε μοι δημοκρατησ γεγραφεναι σε αυτωι πτολεμαιον τονχορηγον καταπεπλευκεναι εισ κοπτον τεταχθαι δε σοι δωσειν το στρωμα εκει παραδωσειν γραψον ουνημιν τισ ο ην τεταγμενοσ οπωσ προσελθων κομισωμαι το στρω μα και μη αλλωσ ποιησηισποησηισ μενω γαρ ενεγ κοπτωι εωσ τουπαρα σου τι προσφωνηθηναι μοι ερρωσο ετουσ ι μεσορη κδ,κλεοσθενησπυθονικωιχαιρεινγεγραφεμοιδημοκρατησγεγραφεναισεαυτωιπτολεμαιοντονχορηγονκαταπεπλευκεναιεισκοπτοντεταχθαιδεσοιδωσειντοστρωμαεκειπαραδωσεινγραψονουνημιντισοηντεταγμενοσοπωσπροσελθωνκομισωμαιτοστρωμακαιμηαλλωσποιησηισποησηισμενωγαρενεγκοπτωιεωστουπαρασουτιπροσφωνηθηναιμοιερρωσοετουσιμεσορηκδ
5364,-2.25,"
Ἀσκληπιάδει νομάρχηι παρὰ Νεχεμβέους. ἐγλαβόντος μου τὴν ἕκτην τῆς Φιλαδέλφου 

    τῆς Ἡρακλείδου μερίδος εἰς τὸ ι ἔτος ἡ ἀκρὶς ἐμπεσοῦσα κατέφθειρεν πάντα, ὅσα δὲ 

    διεσώθη οἱ κύριοι ἀπηνέγκαντο τὴν ἕκτην οὐ ταξάμενοι. ἀπῆγμαι οὖν πρὸς τοῦτο 

    ἀδίκως. καλῶς οὖν ποιήσειςποήσεις, ἐάν σοι φαίνηται, συνεδρεύσας Ἀσκληπιάδει καὶ τῶι
ἀντιγραφεῖ καὶ τῶι στρατηγῶι ὅπως διακριθῶ τοῖς κυρίοις τῶν κτημάτων 

    ἕως τοῦ Θεόδωρον παραγενέσθαι, ἔστι γὰρ τὸ πλῆθος τοῦ ἀργυρίου οὐκ ὀλίγονὀλίον, ὅπως 

    μηθὲν διαφωνήσηι τούτων καὶ σὺ δὲ συντάξηις καὶ Θεοκλῆι τῶι παρὰ σοῦ 

    συσχεῖν τὰ γενήματα τοῦ Δίωνος ἀμπελῶνος ὃν ἔχει Τεισικράτης περὶ Τάνιν. τοῦτον γὰρ 

    καὶ πρότερον κατέστησα ἐπὶ τὸν στρατηγὸν καὶ ἔγγραπτα γέγονεν παρʼ αὐτοῦ· 


    ἔγραψεν δὲ συσχεῖν τὰ γενήματα τοῦ κτήματος τούτου πάντα, καὶ συνέσχηται 

    ἕως τοῦ νῦν. ἀξιῶ οὖν σε, εἴ σοι φαίνεται, γράψαι συσχεῖν  ἵνα μηθὲν διαπίπτηι
τῶι βασιλεῖ. 

    ἔρρωσο. ἔτους ια Παῦνι ε. 
","https://papyri.info/iiif/41/AP00494a.jp2/full/3000,/0/default.jpg ",https://papyri.info/ddbdp/p.tebt;3.1;772/source,ασκληπιαδει νομαρχηι παρα νεχεμβεουσ εγλαβοντοσ μου την εκτην τησ φιλαδελφου τησ ηρακλειδου μεριδοσ εισ το ι ετοσ η ακρισ εμπεσουσα κατεφθειρεν παντα οσα δε διεσωθη οι κυριοι απηνεγκαντο την εκτην ου ταξαμενοι απηγμαι ουν προσ τουτο αδικωσ καλωσ ουν ποιησεισποησεισ εαν σοι φαινηται συνεδρευσασ ασκληπιαδει και τωιαντιγραφει και τωι στρατηγωι οπωσ διακριθω τοισ κυριοισ των κτηματων εωσ του θεοδωρον παραγενεσθαι εστι γαρ το πληθοσ του αργυριου ουκ ολιγονολιον οπωσ μηθεν διαφωνησηι τουτων και συ δε συνταξηισ και θεοκληι τωι παρα σου συσχειν τα γενηματα του διωνοσ αμπελωνοσ ον εχει τεισικρατησ περι τανιν τουτον γαρ και προτερον κατεστησα επι τον στρατηγον και εγγραπτα γεγονεν παρ αυτου εγραψεν δε συσχειν τα γενηματα του κτηματοσ τουτου παντα και συνεσχηται εωσ του νυν αξιω ουν σε ει σοι φαινεται γραψαι συσχειν ινα μηθεν διαπιπτηιτωι βασιλει ερρωσο ετουσ ια παυνι ε,ασκληπιαδεινομαρχηιπαρανεχεμβεουσεγλαβοντοσμουτηνεκτηντησφιλαδελφουτησηρακλειδουμεριδοσειστοιετοσηακρισεμπεσουσακατεφθειρενπανταοσαδεδιεσωθηοικυριοιαπηνεγκαντοτηνεκτηνουταξαμενοιαπηγμαιουνπροστουτοαδικωσκαλωσουνποιησεισποησεισεανσοιφαινηταισυνεδρευσασασκληπιαδεικαιτωιαντιγραφεικαιτωιστρατηγωιοπωσδιακριθωτοισκυριοιστωνκτηματωνεωστουθεοδωρονπαραγενεσθαιεστιγαρτοπληθοστουαργυριουουκολιγονολιονοπωσμηθενδιαφωνησηιτουτωνκαισυδεσυνταξηισκαιθεοκληιτωιπαρασουσυσχεινταγενηματατουδιωνοσαμπελωνοσονεχειτεισικρατησπεριτανιντουτονγαρκαιπροτερονκατεστησαεπιτονστρατηγονκαιεγγραπταγεγονενπαραυτουεγραψενδεσυσχεινταγενηματατουκτηματοστουτουπαντακαισυνεσχηταιεωστουνυναξιωουνσεεισοιφαινεταιγραψαισυσχεινιναμηθενδιαπιπτηιτωιβασιλειερρωσοετουσιαπαυνιε
2299,-2.25,"
βασιλέως προστάξαντος, 

    Αἰσχύλου τοῦ παρὰ Σωστράτου 

    ἀπαγγείλαντος Ζήνωνι, 

    ὑπὲρ οὗ ἐνέτυχεν Ἡνίοχος
τῶν Ἀνθίππου ταξίαρχος. 

    εἰ ἔγγυος γεγένηται 

    παραμονῆς Καλλίου πρὸς Εὐκλῆ, 

    καταστήσας τὸ σῶμα ἀφείσθω 

    τῆς ὑπερημερίας, κατὰ 

    τὰ αὐτὰταυτὰ δὲ καὶ ὅσοι ἐγγυῶνται 

    παραμονῆς τινατινες καταστή

    σαντες τὸ σῶμα ἀφείσθωσαν 

    τῆς ἐγγύης καὶ μὴ ἐκκλειέσ

    θωσαν τῆς ὑπερημερίας. 

    ἔτους ι, Αὐδναίου. ",https://quod.lib.umich.edu/cgi/i/image/api/image/apis:1795:3106R_A.TIF/full/res:0/0/native.jpg,https://papyri.info/ddbdp/p.mich;1;70/source,βασιλεωσ προσταξαντοσ αισχυλου του παρα σωστρατου απαγγειλαντοσ ζηνωνι υπερ ου ενετυχεν ηνιοχοστων ανθιππου ταξιαρχοσ ει εγγυοσ γεγενηται παραμονησ καλλιου προσ ευκλη καταστησασ το σωμα αφεισθω τησ υπερημεριασ κατα τα αυταταυτα δε και οσοι εγγυωνται παραμονησ τινατινεσ καταστη σαντεσ το σωμα αφεισθωσαν τησ εγγυησ και μη εκκλειεσ θωσαν τησ υπερημεριασ ετουσ ι αυδναιου,βασιλεωσπροσταξαντοσαισχυλουτουπαρασωστρατουαπαγγειλαντοσζηνωνιυπερουενετυχενηνιοχοστωνανθιππουταξιαρχοσειεγγυοσγεγενηταιπαραμονησκαλλιουπροσευκληκαταστησαστοσωμααφεισθωτησυπερημεριασκατατααυταταυταδεκαιοσοιεγγυωνταιπαραμονηστινατινεσκαταστησαντεστοσωμααφεισθωσαντησεγγυησκαιμηεκκλειεσθωσαντησυπερημεριασετουσιαυδναιου
